"EID","REFERRAL","NUMBER_JOBS","PROG_EXER_RATE","INTPER_RATE","PRIOR_EXP","HIRE_REC","HIRE_DATE","TURNOVER_DATE","TURNOVER"
442371,"No","0-1","Pass",10,"No",3,2016-01-01,NA,"No"
655737,"No","0-1","Pass",10,"No",2,2017-01-01,2019-03-01,"Yes"
127556,"No","2","Pass",5,"No",2,2016-01-01,NA,"No"
148924,"Yes","2","Pass",10,"Yes",2,2016-05-01,NA,"No"
431006,"No","0-1","Concerns",7,"Yes",2,2016-03-01,2019-11-01,"Yes"
814129,"No","0-1","Pass",7,"No",0,2016-02-01,NA,"No"
195023,"No","2","Pass",7,"No",2,2016-02-01,NA,"No"
384992,"No","0-1","Pass",10,"No",3,2017-01-01,NA,"No"
600352,"No","0-1","Concerns",10,"No",3,2017-03-01,2021-08-01,"Yes"
685224,"No","0-1","Concerns",8,"No",2,2017-01-01,NA,"No"
907882,"No","0-1","Pass",7,"Yes",2,2017-02-01,2018-03-01,"Yes"
103191,"No","0-1","Pass",10,"No",3,2017-04-01,2019-08-01,"Yes"
407236,"No","0-1","Pass",7,"No",3,2017-03-01,2017-11-01,"Yes"
825031,"No","0-1","Concerns",10,"No",2,2017-01-01,NA,"No"
916980,"No","0-1","Pass",9,"No",2,2017-02-01,NA,"No"
714674,"No","0-1","Pass",10,"Yes",3,2016-01-01,2019-11-01,"Yes"
944695,"No","2","Concerns",10,"No",3,2017-02-01,NA,"No"
832341,"No","2","Pass+",10,"No",2,2016-03-01,NA,"No"
306786,"No","0-1","Concerns",10,"Yes",2,2016-06-01,2018-01-01,"Yes"
886443,"Yes","0-1","Pass+",8,"No",1,2016-08-01,NA,"No"
115859,"No","0-1","Pass+",9,"Yes",1,2017-02-01,NA,"No"
620323,"No","0-1","Pass",9,"Yes",3,2016-02-01,NA,"No"
891944,"No","0-1","Pass",6,"No",2,2017-02-01,2021-06-01,"Yes"
926944,"No","0-1","Pass+",10,"Yes",2,2017-02-01,2017-11-01,"Yes"
212381,"No","2","Pass",9,"No",2,2016-06-01,2020-12-01,"Yes"
477964,"No","2","Concerns",0,"No",1,2016-01-01,2017-05-01,"Yes"
139245,"Yes","3+","Concerns",10,"No",2,2017-08-01,2020-02-01,"Yes"
902966,"No","0-1","Pass+",10,"No",2,2016-01-01,2020-09-01,"Yes"
271377,"No","2","Pass",10,"No",2,2016-02-01,2016-03-01,"Yes"
842011,"No","3+","Pass",10,"No",2,2017-02-01,2019-05-01,"Yes"
669574,"No","0-1","Pass+",9,"No",3,2016-01-01,NA,"No"
326643,"No","0-1","Pass",8,"Yes",3,2017-02-01,2021-03-01,"Yes"
588821,"Yes","2","Pass",8,"No",3,2017-03-01,NA,"No"
293331,"No","2","Pass",8,"No",0,2017-01-01,2021-11-01,"Yes"
924030,"No","2","Pass",8,"No",3,2017-06-01,NA,"No"
862058,"No","2","Pass",7,"No",1,2017-04-01,2019-06-01,"Yes"
905779,"No","2","Pass",9,"No",2,2016-04-01,2018-05-01,"Yes"
519670,"No","2","Pass",10,"No",2,2017-05-01,NA,"No"
180335,"No","0-1","Pass",6,"No",2,2017-01-01,NA,"No"
770419,"No","0-1","Pass+",10,"Yes",3,2016-06-01,2020-11-01,"Yes"
879335,"No","3+","Pass",10,"No",2,2016-01-01,NA,"No"
300526,"No","3+","Concerns",3,"No",2,2017-02-01,2017-03-01,"Yes"
574581,"No","0-1","Pass",8,"Yes",3,2016-02-01,2020-05-01,"Yes"
190989,"No","2","Concerns",10,"No",2,2017-01-01,2017-11-01,"Yes"
551430,"No","0-1","Pass",7,"No",2,2017-01-01,2021-04-01,"Yes"
406204,"No","0-1","Concerns",10,"No",2,2016-01-01,NA,"No"
398480,"No","0-1","Pass+",9,"No",2,2017-04-01,2017-10-01,"Yes"
563953,"No","0-1","Pass",10,"No",3,2016-03-01,NA,"No"
937493,"No","2","Pass",10,"No",3,2017-01-01,NA,"No"
683892,"No","2","Pass",9,"No",3,2016-05-01,NA,"No"
738565,"No","3+","Pass",9,"No",2,2016-01-01,2020-01-01,"Yes"
127363,"No","0-1","Pass",10,"No",3,2017-09-01,NA,"No"
157344,"No","0-1","Concerns",7,"No",3,2017-02-01,2021-06-01,"Yes"
273302,"No","0-1","Concerns",7,"No",2,2017-02-01,2021-01-01,"Yes"
643187,"No","0-1","Pass",10,"No",3,2017-01-01,NA,"No"
241447,"No","0-1","Pass",7,"No",2,2017-02-01,2021-07-01,"Yes"
700412,"No","2","Pass",7,"No",1,2016-01-01,NA,"No"
218569,"No","0-1","Pass",8,"No",3,2016-02-01,2018-03-01,"Yes"
396052,"Yes","0-1","Concerns",9,"Yes",3,2016-02-01,NA,"No"
866353,"No","0-1","Pass",10,"No",2,2016-04-01,2016-12-01,"Yes"
560703,"No","3+","Pass",10,"No",3,2016-04-01,2016-09-01,"Yes"
708881,"Yes","0-1","Pass",9,"No",3,2017-01-01,2019-01-01,"Yes"
567884,"No","0-1","Pass",9,"No",3,2016-01-01,NA,"No"
678766,"No","0-1","Pass",7,"Yes",3,2017-01-01,2021-04-01,"Yes"
558373,"No","2","Concerns",10,"No",1,2016-02-01,NA,"No"
303974,"No","0-1","Concerns",7,"No",3,2016-01-01,NA,"No"
103561,"Yes","0-1","Pass",7,"Yes",2,2016-02-01,NA,"No"
274176,"No","2","Pass",10,"No",2,2017-05-01,2022-01-01,"Yes"
629847,"No","2","Pass",10,"Yes",2,2017-08-01,2019-06-01,"Yes"
216941,"No","2","Concerns",7,"Yes",0,2017-02-01,2017-08-01,"Yes"
669921,"No","0-1","Pass+",1,"No",2,2016-01-01,NA,"No"
302329,"No","3+","Pass",10,"No",2,2017-01-01,2019-06-01,"Yes"
432823,"No","0-1","Pass",10,"Yes",3,2017-01-01,2021-02-01,"Yes"
788440,"No","0-1","Pass",10,"Yes",1,2016-05-01,NA,"No"
328662,"No","0-1","Pass",9,"No",3,2017-03-01,2017-11-01,"Yes"
883342,"No","2","Pass",1,"No",3,2016-04-01,2016-05-01,"Yes"
655799,"No","0-1","Concerns",9,"No",2,2016-04-01,2017-02-01,"Yes"
172402,"No","2","Concerns",5,"Yes",3,2016-02-01,2020-06-01,"Yes"
966769,"No","3+","Pass+",9,"Yes",2,2016-09-01,NA,"No"
171704,"No","0-1","Pass+",10,"Yes",1,2016-05-01,2018-04-01,"Yes"
636684,"No","2","Concerns",10,"No",2,2017-04-01,2017-10-01,"Yes"
582389,"No","0-1","Pass",8,"Yes",1,2016-07-01,2017-02-01,"Yes"
365183,"No","0-1","Pass",9,"No",2,2017-02-01,2019-04-01,"Yes"
855015,"No","2","Pass",10,"No",3,2017-01-01,2019-01-01,"Yes"
268542,"No","0-1","Pass",0,"No",3,2017-04-01,2021-10-01,"Yes"
368714,"No","0-1","Pass",9,"Yes",3,2016-09-01,NA,"No"
768460,"No","0-1","Pass",6,"No",2,2017-01-01,2018-12-01,"Yes"
732148,"No","3+","Pass",7,"No",1,2017-02-01,2017-03-01,"Yes"
627969,"No","0-1","Pass",10,"No",2,2017-02-01,2019-08-01,"Yes"
425260,"No","2","Pass",10,"Yes",3,2016-07-01,NA,"No"
219949,"No","0-1","Pass",1,"Yes",3,2017-01-01,2018-11-01,"Yes"
417049,"No","3+","Concerns",10,"Yes",3,2016-01-01,NA,"No"
305035,"No","0-1","Pass",9,"No",1,2017-02-01,2018-08-01,"Yes"
178046,"No","2","Concerns",6,"No",2,2016-01-01,2018-09-01,"Yes"
806811,"No","2","Concerns",10,"No",2,2017-10-01,NA,"No"
812073,"No","2","Pass",7,"No",3,2017-09-01,2019-11-01,"Yes"
374196,"No","0-1","Concerns",7,"No",2,2016-01-01,2018-06-01,"Yes"
679978,"No","3+","Concerns",7,"No",2,2016-01-01,2020-06-01,"Yes"
722703,"No","0-1","Pass",9,"No",3,2016-09-01,2016-12-01,"Yes"
348884,"No","0-1","Pass",7,"No",3,2016-02-01,2016-09-01,"Yes"
925762,"No","2","Concerns",7,"No",2,2016-01-01,2016-03-01,"Yes"
336019,"No","3+","Pass",8,"No",2,2017-11-01,2018-03-01,"Yes"
209183,"No","0-1","Pass",7,"No",3,2017-01-01,NA,"No"
718444,"No","0-1","Pass",7,"No",3,2017-01-01,2021-02-01,"Yes"
596422,"No","0-1","Concerns",9,"No",2,2017-03-01,NA,"No"
740989,"No","2","Pass",10,"No",3,2016-01-01,2018-09-01,"Yes"
990777,"Yes","0-1","Pass",10,"Yes",2,2016-01-01,NA,"No"
377702,"No","2","Pass",7,"No",3,2016-04-01,2016-07-01,"Yes"
533645,"No","2","Pass",10,"No",3,2016-01-01,NA,"No"
538622,"No","2","Pass",10,"No",2,2016-02-01,2020-11-01,"Yes"
266560,"No","0-1","Pass+",8,"Yes",2,2016-03-01,2017-11-01,"Yes"
488636,"No","0-1","Pass",10,"No",3,2017-05-01,2019-11-01,"Yes"
680545,"No","0-1","Pass",9,"No",2,2017-02-01,2021-12-01,"Yes"
914582,"No","2","Pass",10,"No",2,2016-03-01,NA,"No"
732526,"No","2","Pass",7,"No",2,2017-04-01,NA,"No"
474607,"No","0-1","Pass+",9,"Yes",3,2016-06-01,2018-03-01,"Yes"
147420,"No","3+","Concerns",10,"Yes",2,2016-04-01,2016-07-01,"Yes"
135999,"No","0-1","Pass+",10,"No",0,2017-04-01,2019-10-01,"Yes"
718645,"No","2","Concerns",10,"No",2,2016-02-01,NA,"No"
683928,"No","0-1","Concerns",10,"No",2,2016-04-01,2016-12-01,"Yes"
251392,"No","0-1","Pass",6,"No",2,2016-01-01,2018-09-01,"Yes"
190521,"No","0-1","Pass",8,"Yes",3,2016-02-01,2020-04-01,"Yes"
942694,"No","0-1","Concerns",9,"Yes",2,2017-02-01,2019-01-01,"Yes"
736732,"No","0-1","Pass",8,"Yes",2,2017-01-01,2019-03-01,"Yes"
318140,"No","2","Pass+",7,"Yes",2,2016-12-01,NA,"No"
519654,"No","0-1","Pass",10,"No",3,2017-02-01,2021-03-01,"Yes"
640974,"No","2","Pass",9,"No",2,2016-02-01,2016-09-01,"Yes"
666084,"No","2","Concerns",10,"No",1,2017-03-01,2019-08-01,"Yes"
198392,"No","2","Pass",9,"No",2,2016-04-01,2018-06-01,"Yes"
895196,"No","2","Pass",10,"No",2,2017-02-01,2018-12-01,"Yes"
338603,"No","0-1","Pass",8,"No",2,2017-04-01,NA,"No"
311982,"No","0-1","Pass",10,"No",1,2017-05-01,2017-12-01,"Yes"
101238,"No","2","Concerns",8,"No",2,2017-04-01,2017-09-01,"Yes"
831047,"No","0-1","Pass+",10,"No",2,2017-02-01,NA,"No"
319296,"No","0-1","Pass",8,"Yes",2,2017-01-01,NA,"No"
617914,"No","0-1","Pass+",7,"No",3,2016-07-01,2018-10-01,"Yes"
163049,"No","3+","Pass",10,"No",1,2017-04-01,2019-01-01,"Yes"
277641,"No","0-1","Pass",6,"Yes",3,2016-02-01,2017-02-01,"Yes"
633830,"No","0-1","Pass",9,"No",2,2017-12-01,NA,"No"
953065,"No","2","Pass",7,"Yes",2,2017-01-01,2021-01-01,"Yes"
361195,"No","2","Pass",9,"No",2,2016-02-01,NA,"No"
957188,"Yes","0-1","Pass+",10,"No",2,2017-01-01,NA,"No"
387951,"No","0-1","Concerns",9,"No",2,2016-03-01,2018-08-01,"Yes"
871501,"No","2","Concerns",10,"No",3,2016-02-01,2017-04-01,"Yes"
583763,"No","2","Pass",8,"Yes",1,2016-01-01,2018-03-01,"Yes"
519983,"No","2","Pass",7,"No",2,2017-02-01,2019-06-01,"Yes"
743486,"No","0-1","Pass",8,"No",2,2016-06-01,2020-03-01,"Yes"
186719,"No","0-1","Pass",10,"No",3,2016-05-01,NA,"No"
252540,"No","2","Pass+",9,"Yes",1,2016-02-01,NA,"No"
290981,"Yes","0-1","Pass",8,"No",1,2017-04-01,NA,"No"
998410,"No","0-1","Pass",8,"Yes",1,2017-03-01,2020-12-01,"Yes"
681207,"Yes","2","Pass",6,"No",3,2017-03-01,NA,"No"
921313,"No","0-1","Pass+",10,"Yes",2,2016-01-01,2020-01-01,"Yes"
783924,"No","2","Pass",8,"No",1,2017-04-01,2017-07-01,"Yes"
949281,"Yes","0-1","Pass",9,"No",2,2017-01-01,NA,"No"
853693,"No","2","Concerns",10,"No",2,2016-01-01,NA,"No"
504524,"No","2","Concerns",8,"No",3,2017-02-01,2019-02-01,"Yes"
622438,"No","0-1","Concerns",8,"No",2,2016-06-01,NA,"No"
157048,"No","0-1","Pass",10,"Yes",3,2017-01-01,2020-12-01,"Yes"
299494,"No","0-1","Pass",7,"No",2,2017-01-01,2017-03-01,"Yes"
217486,"No","2","Concerns",9,"No",3,2017-01-01,2017-06-01,"Yes"
892469,"No","0-1","Pass",10,"No",3,2017-01-01,NA,"No"
184696,"No","0-1","Pass",6,"Yes",1,2017-04-01,2019-02-01,"Yes"
623069,"No","0-1","Pass",0,"No",2,2017-03-01,NA,"No"
445111,"No","0-1","Concerns",9,"No",3,2016-05-01,2018-06-01,"Yes"
953429,"No","0-1","Pass",8,"No",3,2016-02-01,2018-03-01,"Yes"
394674,"No","0-1","Concerns",3,"No",2,2017-02-01,NA,"No"
898858,"No","0-1","Pass",10,"No",3,2017-05-01,2020-07-01,"Yes"
905052,"Yes","2","Concerns",7,"Yes",2,2016-04-01,2016-08-01,"Yes"
368472,"Yes","0-1","Pass",6,"Yes",3,2016-02-01,NA,"No"
355266,"No","0-1","Pass",9,"Yes",3,2016-01-01,2018-02-01,"Yes"
779408,"No","0-1","Concerns",7,"Yes",3,2017-02-01,2021-08-01,"Yes"
656290,"No","0-1","Concerns",7,"No",2,2017-01-01,2021-04-01,"Yes"
788840,"No","2","Pass",9,"No",2,2016-02-01,2018-03-01,"Yes"
913625,"No","2","Pass",9,"No",1,2016-01-01,NA,"No"
985879,"No","0-1","Pass",8,"No",3,2016-01-01,2017-09-01,"Yes"
890213,"Yes","0-1","Pass",10,"No",2,2016-04-01,2018-07-01,"Yes"
269216,"No","0-1","Pass+",7,"Yes",3,2017-02-01,2019-01-01,"Yes"
453643,"No","0-1","Pass",9,"No",2,2017-07-01,2019-09-01,"Yes"
920185,"Yes","0-1","Pass",10,"No",3,2016-01-01,2018-07-01,"Yes"
158852,"No","0-1","Pass",10,"No",2,2017-02-01,2019-01-01,"Yes"
350777,"No","0-1","Pass",2,"No",2,2017-02-01,2019-03-01,"Yes"
912299,"No","2","Pass",8,"Yes",2,2016-07-01,2019-03-01,"Yes"
849374,"No","2","Pass+",7,"No",3,2017-07-01,2021-01-01,"Yes"
837888,"No","2","Concerns",8,"Yes",3,2017-04-01,2018-07-01,"Yes"
247962,"No","0-1","Pass",10,"No",3,2017-02-01,NA,"No"
667549,"No","0-1","Concerns",7,"Yes",2,2017-01-01,2019-11-01,"Yes"
560239,"No","0-1","Pass",7,"No",1,2017-02-01,2018-10-01,"Yes"
168677,"Yes","2","Pass",10,"No",3,2016-03-01,NA,"No"
218222,"Yes","0-1","Pass",7,"No",3,2017-11-01,NA,"No"
567663,"No","3+","Pass",10,"Yes",3,2016-05-01,2019-02-01,"Yes"
150844,"No","2","Pass",8,"No",2,2017-05-01,2017-09-01,"Yes"
684759,"No","0-1","Pass",8,"Yes",1,2017-05-01,NA,"No"
786930,"No","2","Pass",9,"Yes",2,2017-01-01,2018-10-01,"Yes"
770125,"Yes","0-1","Pass",7,"Yes",2,2016-04-01,2018-07-01,"Yes"
436006,"No","3+","Pass+",6,"No",2,2016-02-01,2020-05-01,"Yes"
154858,"No","0-1","Pass",8,"No",3,2016-09-01,2016-11-01,"Yes"
439274,"No","0-1","Pass",10,"Yes",1,2016-01-01,NA,"No"
980775,"No","2","Pass",10,"No",3,2017-02-01,NA,"No"
720235,"No","0-1","Pass",10,"No",2,2016-08-01,2019-09-01,"Yes"
325584,"Yes","0-1","Pass",7,"No",2,2016-04-01,2020-04-01,"Yes"
166958,"No","0-1","Pass",7,"No",2,2017-02-01,2020-09-01,"Yes"
261930,"No","0-1","Pass",10,"No",2,2017-05-01,2019-08-01,"Yes"
991446,"Yes","0-1","Concerns",7,"Yes",3,2016-01-01,2020-08-01,"Yes"
173601,"No","2","Concerns",8,"No",3,2016-05-01,NA,"No"
722793,"No","0-1","Pass",10,"Yes",2,2016-02-01,NA,"No"
137746,"No","3+","Pass",8,"No",3,2017-05-01,2019-10-01,"Yes"
742687,"No","0-1","Pass",10,"No",3,2017-12-01,NA,"No"
951494,"No","0-1","Concerns",7,"Yes",2,2017-04-01,2019-07-01,"Yes"
256446,"No","0-1","Pass",8,"No",2,2017-04-01,2018-10-01,"Yes"
771369,"Yes","0-1","Concerns",8,"No",0,2016-12-01,2018-08-01,"Yes"
385106,"No","0-1","Pass+",8,"No",2,2017-02-01,2017-09-01,"Yes"
695173,"No","0-1","Pass",7,"No",3,2016-01-01,2018-03-01,"Yes"
